date,downloads, data
2015-12-08,461311,3.80485
2015-12-09,487658,3.89533
2015-12-10,479844,3.84879
2015-12-11,419188,3.3244
2015-12-12,218359,1.78714
2015-12-13,235530,1.91376
2015-12-14,485652,3.87302
2015-12-15,483571,3.99759
2015-12-16,475990,3.83719
2015-12-17,459877,3.68644
2015-12-18,405401,3.23004
2015-12-19,203308,1.63525
2015-12-20,222019,1.76515
2015-12-21,435326,3.36289
2015-12-22,418891,3.30652
2015-12-23,373204,2.90298
2015-12-24,252394,1.97444
2015-12-25,191022,1.54839
2015-12-26,171570,1.43319
2015-12-27,184423,1.56781
2015-12-28,314616,2.55312
2015-12-29,342797,2.69098
2015-12-30,329220,2.57234
2015-12-31,239134,1.8749
2016-01-01,171890,1.42784
2016-01-02,178659,1.50445
2016-01-03,200421,1.71533
2016-01-04,445077,3.46929
2016-01-05,460734,3.64576
2016-01-06,466369,3.6399
2016-01-07,476689,3.74342
2016-01-08,406257,3.13793
2016-01-09,237887,1.83408
2016-01-10,245531,1.91214
2016-01-11,431511,3.49082
2016-01-12,443190,3.67993
2016-01-13,438874,3.54073
2016-01-14,412776,3.44791
2016-01-15,367827,3.07998
2016-01-16,214503,1.80034
2016-01-17,215058,1.85954
2016-01-18,375127,3.15575
2016-01-19,427068,3.54377
2016-01-20,431546,3.61137
2016-01-21,457788,3.69555
2016-01-22,403021,3.28535
2016-01-23,211667,1.82297
2016-01-24,238789,1.93434
2016-01-25,432153,3.58473
2016-01-26,443846,3.67385
2016-01-27,440777,3.66775
2016-01-28,440992,3.69645
2016-01-29,382815,3.20288
2016-01-30,226608,1.8388
2016-01-31,226382,1.9237
2016-02-01,432821,3.61854
2016-02-02,442385,3.75536
2016-02-03,445060,3.66201
2016-02-04,427130,3.58458
2016-02-05,382246,3.21212
2016-02-06,201528,1.77234
2016-02-07,208073,1.88163
2016-02-08,396889,3.43886
2016-02-09,472874,4.06982
2016-02-10,530050,4.35228
2016-02-11,527100,4.28276
2016-02-12,464495,3.89313
2016-02-13,257312,2.30258
2016-02-14,276496,2.3767
2016-02-15,476635,3.95591
2016-02-16,536865,4.43284
2016-02-17,555868,4.5123
2016-02-18,545878,4.49368
2016-02-19,464217,3.88771
2016-02-20,255433,2.30391
2016-02-21,275407,2.44833
2016-02-22,483005,4.06395
2016-02-23,502732,4.24504
2016-02-24,512326,4.19554
2016-02-25,519864,4.18099
2016-02-26,474888,3.79551
2016-02-27,254128,2.21705
2016-02-28,261281,2.32813
2016-02-29,478674,4.07366
2016-03-01,497794,4.22433
2016-03-02,510401,4.36322
2016-03-03,513479,4.30917
2016-03-04,518984,4.22273
2016-03-05,279921,2.38561
2016-03-06,289547,2.4899
2016-03-07,564183,4.54486
2016-03-08,564309,4.57792
2016-03-09,575935,4.75177
2016-03-10,574001,4.73687
2016-03-11,492551,4.0917
2016-03-12,263628,2.36434
2016-03-13,264844,2.37321
2016-03-14,516818,4.4322
2016-03-15,524934,4.47025
2016-03-16,526266,4.47336
2016-03-17,527497,4.46327
2016-03-18,485966,4.13167
2016-03-19,272815,2.41886
2016-03-20,267298,2.31717
2016-03-21,499323,4.1278
2016-03-22,525482,4.36714
2016-03-23,520641,4.34762
2016-03-24,486033,4.11266
2016-03-25,388043,3.38738
2016-03-26,245179,2.2306
2016-03-27,242495,2.20255
2016-03-28,433048,3.75933
2016-03-29,504827,4.22367
2016-03-30,502444,4.2718
2016-03-31,498208,4.19221
2016-04-01,498998,4.04482
2016-04-02,249959,2.1195
2016-04-03,243730,2.05662
2016-04-04,482784,3.85488
2016-04-05,514837,3.92647
2016-04-06,522399,3.90456
2016-04-07,619373,6.2089
2016-04-08,595470,6.27396
2016-04-09,386871,4.87388
2016-04-10,408805,4.96979
2016-04-11,640774,6.60706
2016-04-12,653359,6.72452
2016-04-13,651448,6.6714
2016-04-14,620650,6.18123
2016-04-15,595537,6.139
2016-04-16,253874,3.12246
2016-04-17,389989,4.78456
2016-04-18,637081,6.46942
2016-04-19,674174,6.82517
2016-04-20,681030,6.76543
2016-04-21,677351,6.53154
2016-04-22,605793,6.01392
2016-04-23,388816,4.62691
2016-04-24,390273,4.65
2016-04-25,647518,6.40181
2016-04-26,624257,5.34755
2016-04-27,588057,4.36689
2016-04-28,554346,4.16784
2016-04-29,481359,3.6316
2016-04-30,266339,2.13755
2016-05-01,264127,2.11396
2016-05-02,505420,3.82051
2016-05-03,539818,4.00557
2016-05-04,556298,4.26702
2016-05-05,505412,3.89442
2016-05-06,521697,3.91917
2016-05-07,273476,2.06254
2016-05-08,253577,2.02145
2016-05-09,524697,3.84251
2016-05-10,549724,3.92473
2016-05-11,544091,3.84233
2016-05-12,531938,3.80107
2016-05-13,472439,3.39899
2016-05-14,244494,1.85583
2016-05-15,246567,1.87642
2016-05-16,489420,3.58014
2016-05-17,548713,3.9801
2016-05-18,554301,4.0776
2016-05-19,550500,4.02583
2016-05-20,490428,3.63754
2016-05-21,252122,1.98176
2016-05-22,267940,2.0799
2016-05-23,552511,3.99517
2016-05-24,570891,4.16666
2016-05-25,552206,4.12078
2016-05-26,526869,3.92195
2016-05-27,456895,3.50324
2016-05-28,243744,1.96758
2016-05-29,258370,2.05779
2016-05-30,398749,3.0299
2016-05-31,524307,3.91854
2016-06-01,538378,3.99613
2016-06-02,544965,4.00322
2016-06-03,481812,3.60904
2016-06-04,250021,1.98342
2016-06-05,253368,2.01593
2016-06-06,538871,3.9127
2016-06-07,596994,4.14347
2016-06-08,588888,4.1331
2016-06-09,567982,3.91531
2016-06-10,516672,3.54805
2016-06-11,302202,1.90263
2016-06-12,291843,1.90649
2016-06-13,551039,3.71252
2016-06-14,588226,3.95368
2016-06-15,571865,3.8649
2016-06-16,556965,3.80155
2016-06-17,501501,3.44109
2016-06-18,272645,1.89329
2016-06-19,280739,1.95947
2016-06-20,576660,3.99868
2016-06-21,585001,4.02676
2016-06-22,581325,3.92143
2016-06-23,585425,3.90344
2016-06-24,561405,3.61745
2016-06-25,302845,1.78389
2016-06-26,331392,1.87748
2016-06-27,591791,3.79923
2016-06-28,600828,3.94008
2016-06-29,602404,3.96704
2016-06-30,594177,3.91936
2016-07-01,524855,3.41931
2016-07-02,289974,1.80147
2016-07-03,310775,1.90679
2016-07-04,447905,2.97575
2016-07-05,606132,3.89798
2016-07-06,576701,3.90619
2016-07-07,599773,3.92669
2016-07-08,523903,3.51071
2016-07-09,287404,1.85821
2016-07-10,298313,1.91808
2016-07-11,573453,3.80676
2016-07-12,602282,4.00666
2016-07-13,588320,3.92808
2016-07-14,561571,3.78866
2016-07-15,515823,3.44521
2016-07-16,262949,1.76106
2016-07-17,289059,1.91043
2016-07-18,572610,3.78672
2016-07-19,585804,3.71442
2016-07-20,596728,3.65813
2016-07-21,611679,3.59593
2016-07-22,564076,3.18963
2016-07-23,282112,1.60799
2016-07-24,288042,1.6857
2016-07-25,562701,3.58451
2016-07-26,697526,3.74192
2016-07-27,656417,3.61078
2016-07-28,571670,3.60012
2016-07-29,518756,3.25613
2016-07-30,268675,1.60527
2016-07-31,274629,1.69474
2016-08-01,574575,3.69197
2016-08-02,576413,3.73198
2016-08-03,563932,3.67756
2016-08-04,571468,3.70495
2016-08-05,508786,3.22587
2016-08-06,267819,1.59375
2016-08-07,279142,1.729
2016-08-08,576686,3.72511
2016-08-09,578093,3.77551
2016-08-10,585790,3.82844
2016-08-11,559484,3.71175
2016-08-12,510081,3.41847
2016-08-13,239534,1.6266
2016-08-14,249598,1.72109
2016-08-15,499344,3.37104
2016-08-16,583439,3.76057
2016-08-17,590774,3.76744
2016-08-18,571914,3.69278
